INFO 2024-08-07 14:01:35,381 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-07 14:01:35,605 autoreload File C:\Python312\Lib\asyncio\threads.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,605 autoreload File C:\Python312\Lib\wsgiref\__init__.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,605 autoreload File C:\Python312\Lib\calendar.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,605 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1721790081.027469
DEBUG 2024-08-07 14:01:35,606 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1721790081.8455684
DEBUG 2024-08-07 14:01:35,606 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1721790079.1940212
DEBUG 2024-08-07 14:01:35,606 autoreload File D:\Code\Python\DjangoProject\DjangoBlog\userprofile\models.py first seen with mtime 1722950994.4511154
DEBUG 2024-08-07 14:01:35,606 autoreload File C:\Python312\Lib\asyncio\transports.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,606 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1721790081.577303
DEBUG 2024-08-07 14:01:35,606 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\models\options.py first seen with mtime 1721790081.656545
DEBUG 2024-08-07 14:01:35,607 autoreload File C:\Python312\Lib\asyncio\subprocess.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,607 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1721790078.0285506
DEBUG 2024-08-07 14:01:35,607 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\utils\encoding.py first seen with mtime 1721790081.8470256
DEBUG 2024-08-07 14:01:35,608 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1721790079.3823361
DEBUG 2024-08-07 14:01:35,608 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1721790081.4937737
DEBUG 2024-08-07 14:01:35,608 autoreload File C:\Python312\Lib\opcode.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,609 autoreload File C:\Python312\DLLs\unicodedata.pyd first seen with mtime 1717674902.0
DEBUG 2024-08-07 14:01:35,609 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1721790081.8921309
DEBUG 2024-08-07 14:01:35,609 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1721790081.6830509
DEBUG 2024-08-07 14:01:35,609 autoreload File C:\Python312\Lib\contextlib.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,609 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1721790081.6433072
DEBUG 2024-08-07 14:01:35,609 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1721790081.6545434
DEBUG 2024-08-07 14:01:35,610 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1721790081.5893087
DEBUG 2024-08-07 14:01:35,610 autoreload File C:\Python312\Lib\concurrent\futures\thread.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,610 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1721790081.67505
DEBUG 2024-08-07 14:01:35,610 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1721790079.5966012
DEBUG 2024-08-07 14:01:35,610 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1721790081.530283
DEBUG 2024-08-07 14:01:35,611 autoreload File C:\Python312\Lib\concurrent\futures\_base.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,611 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1721790081.6690502
DEBUG 2024-08-07 14:01:35,611 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1721790081.5007727
DEBUG 2024-08-07 14:01:35,611 autoreload File C:\Python312\Lib\ast.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,612 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1721790081.8025603
DEBUG 2024-08-07 14:01:35,612 autoreload File C:\Python312\Lib\concurrent\__init__.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,612 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\models\utils.py first seen with mtime 1721790081.6605437
DEBUG 2024-08-07 14:01:35,612 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\models\manager.py first seen with mtime 1721790081.655543
DEBUG 2024-08-07 14:01:35,612 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1721790081.4767747
DEBUG 2024-08-07 14:01:35,612 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\apps\config.py first seen with mtime 1721790078.271287
DEBUG 2024-08-07 14:01:35,613 autoreload File C:\Python312\DLLs\_zoneinfo.pyd first seen with mtime 1717674902.0
DEBUG 2024-08-07 14:01:35,613 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\sqlparse\cli.py first seen with mtime 1721790078.0175488
DEBUG 2024-08-07 14:01:35,613 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1721790081.5503054
DEBUG 2024-08-07 14:01:35,613 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1721790081.5272787
DEBUG 2024-08-07 14:01:35,614 autoreload File C:\Python312\Lib\re\_compiler.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,614 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1721790081.682051
DEBUG 2024-08-07 14:01:35,614 autoreload File C:\Python312\Lib\email\contentmanager.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,614 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1721790081.884131
DEBUG 2024-08-07 14:01:35,615 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\markdown\blockparser.py first seen with mtime 1721867044.6918762
